game_year,team,team_tm_major,team_tm_minor,KBO_ID,TM_ID,NAME,POS,BackNum,engName,Birthday,Height,Weight,pitcherthrows,batterside
-,-,-,-,-,-,-,P,-,-,-,-,-,-,-
-,-,-,-,-,-,-,NP,-,-,-,-,-,-,-
2025,KT,KT_WIZ,MIN_KTW,53006,53006,강건,P,99,"Kang, Gun",20040712,183,85,Right,Right
2025,KT,KT_WIZ,MIN_KTW,69064,69064,강민성,IF,5,"Kang, Min Sung",19991208,180,85,Right,Right
2025,KT,KT_WIZ,MIN_KTW,68050,68050,강백호,C,50,"Kang, Baek Ho",19990729,184,98,Right,Left
2025,KT,KT_WIZ,MIN_KTW,50066,50066,강현우,C,55,"Kang, Hyeon Woo",20010413,180,90,Right,Right
2025,KT,KT_WIZ,MIN_KTW,64001,64001,고영표,P,1,"Ko, Young Pyo",19910916,187,88,Right,Right
2025,KT,KT_WIZ,MIN_KTW,51003,51003,권동진,IF,52,"Kwon, Dong Jin",19980912,178,83,Right,Left
2025,KT,KT_WIZ,MIN_KTW,52003,52003,권성준,P,115,"Kwon, Sung Jun",20030309,185,88,Left,Left
2025,KT,KT_WIZ,MIN_KTW,51005,51005,김건형,OF,0,"Kim, Geon Hyoung",19960712,182,83,Right,Left
2025,KT,KT_WIZ,MIN_KTW,55040,55040,김동현,P,40,"Kim, Dong Hyun",20060121,193,97,Right,Right
2025,KT,KT_WIZ,MIN_KTW,54097,54097,김민석,C,97,"Kim, Min Seok",20050722,181,93,Right,Right
2025,KT,KT_WIZ,MIN_KTW,65048,65048,김민수,P,26,"Kim, Min Su",19920724,188,80,Right,Right
2025,KT,KT_WIZ,MIN_KTW,64004,64004,김민혁,OF,53,"Kim, Min Hyuck",19951121,181,71,Right,Left
2025,KT,KT_WIZ,MIN_KTW,52002,52002,김병준,OF,57,"Kim, Byung Jun",20030703,175,80,Right,Left
2025,KT,KT_WIZ,MIN_KTW,79402,79402,김상수,IF,7,"Kim, Sang Su",19900323,175,68,Right,Right
2025,KT,KT_WIZ,MIN_KTW,55043,55043,김재원,P,43,"Kim, Jae Won",20060821,190,90,Right,Right
